name,type,all_type,description,group,all_group,indoor_outdoor,all_in_out,longitude,latitude,geometry
Surf Agency,Sport and fitness,Show all,Stand Up Paddleboard club with rental possibilities and outdoor spa facilities,Both children and adults,Show all,Outdoor,Show all,10.218373462445834,56.16442469002892,"c(10.2183734624458, 56.1644246900289)"
Pakhus77,Sport and fitness,Show all,Indoor padel tennis facility,Both children and adults,Show all,Indoor,Show all,10.222763139461021,56.161665437629324,"c(10.222763139461, 56.1616654376293)"
HeadQuarters,Venue,Show all,Live music venue,Adults,Show all,Indoor,Show all,10.199438649907703,56.15222477602261,"c(10.1994386499077, 56.1522247760226)"
Svalegangen Theater,Theater,Show all,Performing arts theater in the center of Aarhus,Adults,Show all,Indoor,Show all,10.20619901247345,56.15216086621094,"c(10.2061990124734, 56.1521608662109)"
Katapult Theater,Theater,Show all,Small performing arts theater,Adults,Show all,Indoor,Show all,10.194383525966968,56.153605912776094,"c(10.194383525967, 56.1536059127761)"
Voxhall,Venue,Show all,Music venue,Adults,Show all,Indoor,Show all,10.198956725967193,56.155927378631674,"c(10.1989567259672, 56.1559273786317)"
Aarhus Bowling Alley,Entertainment,Show all,Bowling alley,Both children and adults,Show all,Indoor,Show all,10.195866821247927,56.152294248428575,"c(10.1958668212479, 56.1522942484286)"
Boulders Aarhus City,Sport and fitness,Show all,Rock climbing gym,Both children and adults,Show all,Indoor,Show all,10.190876539460072,56.14834242576251,"c(10.1908765394601, 56.1483424257625)"
LOCKED Escape Room,Entertainment,Show all,Escape room center with several different rooms,Adults,Show all,Indoor,Show all,10.20598608363786,56.15105168965329,"c(10.2059860836379, 56.1510516896533)"
Volume Village,Venue,Show all,Outdoor live music venue,Adults,Show all,Outdoor,Show all,10.184209495554667,56.14952765188627,"c(10.1842094955547, 56.1495276518863)"
Theater Group 38,Theater,Show all,"Small, intimate theater at Aarhus Ø",Adults,Show all,Indoor,Show all,10.227526110625591,56.16311911131719,"c(10.2275261106256, 56.1631191113172)"
Ingerslev Torv,?,Show all,Market with foodstands every Wednesday and Saturday,Both children and adults,Show all,Outdoor,Show all,10.196712893511247,56.144857793790486,"c(10.1967128935112, 56.1448577937905)"
Dokk1,Library,Show all,"Dokk1 is the main library in Aarhus with media, a café, public events, project rooms, study rooms, art, a children's library, and a playground.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.214527187566679,56.15399582919347,"c(10.2145271875667, 56.1539958291935)"
Creative Space,?,Show all,Paint Your Own Pottery Café,Both children and adults,Show all,Indoor,Show all,10.209720268301075,56.15945546754703,"c(10.2097202683011, 56.159455467547)"
Art by Me,?,Show all,Paint Your Own Pottery Café,Both children and adults,Show all,Indoor,Show all,10.199147510629858,56.158600845619496,"c(10.1991475106299, 56.1586008456195)"
Vor Frue Kirke,Church,Show all,"The Church of Our Lady (Danish: Vor Frue Kirke) is one of the larger church structures of Århus, Denmark. The church and associated structures were built in several stages in the course of the Middle Ages, from the late 1200s to 1500 AD. ",Both children and adults,Show all,Indoor,Show all,10.20464067475365,56.15819455403357,"c(10.2046406747536, 56.1581945540336)"
Vor Frue Kirke (Catholic Church),Church,Show all,"Catholic Church of Our Lady (Danish: Katolske Vor Frue Kirke) is a church in Aarhus, Denmark. The church is situated in the central Indre By neighbourhood on the pedestrian street Ryesgade, close to the Central Station and City Hall. It is a catholic church under the Roman Catholic Diocese of Copenhagen; built between 1877 and 1880 by designs of the German architect Franz Schmitz and later renovated by the architect Carl R. Frederiksen.",Both children and adults,Show all,Indoor,Show all,10.204401429735393,56.15248844965036,"c(10.2044014297354, 56.1524884496504)"
St. Pauls Kirke,Church,Show all,"St Paul's Church is a parish church in Aarhus, Denmark. It was completed in 1887 to a design by Vilhelm Theodor Walther in the Neo-Romanesque style.",Both children and adults,Show all,Indoor,Show all,10.204244560176825,56.146502870305305,"c(10.2042445601768, 56.1465028703053)"
Tangkrogen,Park,Show all,Tangkrogen is a public park and area in Aarhus near the beach. The park is situated near the city centre by the coast and close to the Marselis Wood.,Both children and adults,Show all,Outdoor,Show all,10.209043052620723,56.13890636411847,"c(10.2090430526207, 56.1389063641185)"
Jydsk Væddeløbsbane,?,Show all,"The Jutland Racecourse is a public racecourse in Aarhus, Denmark.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.195912313562983,56.12840313289481,"c(10.195912313563, 56.1284031328948)"
Skanseparken,Park,Show all,Skanseparken is one of the oldest parks in the city of Aarhus. It is situated in the neighborhood of Frederiksbjerg in Midtbyen.,Both children and adults,Show all,Outdoor,Show all,10.206158851227592,56.14597495301759,"c(10.2061588512276, 56.1459749530176)"
Frederiksbjerg Bypark,Park,Show all,Park at Frederiksbjerg,Both children and adults,Show all,Outdoor,Show all,10.18928444792406,56.147386980787076,"c(10.1892844479241, 56.1473869807871)"
Skateboardpark,Sport and fitness,Show all,Skateboard park close to Brabrandstien,Both children and adults,Show all,Outdoor,Show all,10.177975314879204,56.14728322439201,"c(10.1779753148792, 56.147283224392)"
Havnerundfart - Aarhus Sail Event,?,Show all,"Aarhus Sail Event offers harbor tours of Aarhus Harbor and Bay. Aboard the ship M/S Helene, and experience and enjoy Aarhus from the water. See the new district of Aarhus Ø and listen to the interesting and fun stories that guides form Aarhus Sail Event add to the tour along the way.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.214488833622443,56.15666200315953,"c(10.2144888336224, 56.1566620031595)"
Sportspladsen Havnefronten,Sport and fitness,Show all,"At Sportspladsen Havnefronten you can play basket, football or the like. The place offers a great sea view and sports activities.",Both children and adults,Show all,Outdoor,Show all,10.213997055003498,56.15744333313172,"c(10.2139970550035, 56.1574433331317)"
Slagtehal 3,Cinema,Show all,An underground cinema and cafe,Adults,Show all,Indoor,Show all,10.212880600020101,56.16002892736784,"c(10.2128806000201, 56.1600289273678)"
CinemaxX,Cinema,Show all,CinemaxX in Aarhus is located in Bruuns Galleri and offers both 3D and IMAX cinema halls.,Both children and adults,Show all,Indoor,Show all,10.203861884423869,56.15066835277434,"c(10.2038618844239, 56.1506683527743)"
Nordisk Film Biografer Aarhus C,Cinema,Show all,Movie theatre at Aarhus C.,Both children and adults,Show all,Indoor,Show all,10.205950204877794,56.15158649549781,"c(10.2059502048778, 56.1515864954978)"
Det Kgl. Bibliotek,Library,Show all,The State and University Library is a national library and the university library of Aarhus University. ,Both children and adults,Show all,Indoor,Show all,10.199256149280348,56.17105327231762,"c(10.1992561492803, 56.1710532723176)"
Escape Factory,Entertainment,Show all,Escape room with several different rooms and games.,Adults,Show all,Indoor,Show all,10.21317974232884,56.16049456698617,"c(10.2131797423288, 56.1604945669862)"
Brain Escape,Entertainment,Show all,Escape room with several different rooms and games.,Adults,Show all,Indoor,Show all,10.211974337533318,56.15912412521492,"c(10.2119743375333, 56.1591241252149)"
Urban Escape game,Entertainment,Show all,Uban escape game where the puzzle/game to be solved is located at several sites around Aarhus.,Adults,Show all,Outdoor,Show all,10.208062150699702,56.15840882824942,"c(10.2080621506997, 56.1584088282494)"
Urban Escape game,Entertainment,Show all,Uban escape game where the puzzle/game to be solved is located at several sites around Aarhus.,Adults,Show all,Outdoor,Show all,10.202701861793145,56.15176769103704,"c(10.2027018617931, 56.151767691037)"
Escape Tour,Entertainment,Show all,Uban escape game where the puzzle/game to be solved is located at several sites around Aarhus.,Adults,Show all,Outdoor,Show all,10.201710886906046,56.15183077303507,"c(10.201710886906, 56.1518307730351)"
Escapist,Entertainment,Show all,Escape room with several different rooms and games.,Adults,Show all,Indoor,Show all,10.202383500932736,56.159543753237855,"c(10.2023835009327, 56.1595437532379)"
Ekkodalen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.180955366512448,56.172633086926226,"c(10.1809553665124, 56.1726330869262)"
Falkevej,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.179609359725212,56.16857286886406,"c(10.1796093597252, 56.1685728688641)"
Klokkerparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.157108817247403,56.16156005465221,"c(10.1571088172474, 56.1615600546522)"
Marienlyst Park,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.159964134246358,56.18147198724188,"c(10.1599641342464, 56.1814719872419)"
Præstevangen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.168303748993846,56.16408477829998,"c(10.1683037489938, 56.1640847783)"
Byvangen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.170669885516245,56.13048488819699,"c(10.1706698855162, 56.130484888197)"
Stautrup,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.121942549874332,56.12994781946959,"c(10.1219425498743, 56.1299478194696)"
Vårkær Park,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.147820017872512,56.12580870556144,"c(10.1478200178725, 56.1258087055614)"
Shelter i Stavtrup,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.113787000000066,56.14017099999978,"c(10.1137870000001, 56.1401709999998)"
Fitnessplads Bøgelund Idrætsanlæg ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.129276080000068,56.11943195999977,"c(10.1292760800001, 56.1194319599998)"
Fitnessplads Bygvangs Alle ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.170621000000084,56.13052598999977,"c(10.1706210000001, 56.1305259899998)"
Fitnessplads Stautrup Skov ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.118841120000067,56.13948602999977,"c(10.1188411200001, 56.1394860299998)"
Fitnessplads Vårkærparken ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.148312160000076,56.12574095999978,"c(10.1483121600001, 56.1257409599998)"
Fitnesspark ved Bøgeskov Idrætsanlæg,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.127205000000071,56.11940799999978,"c(10.1272050000001, 56.1194079999998)"
Fitnessplads Eskelunden,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.158991501639035,56.138138062151846,"c(10.158991501639, 56.1381380621518)"
Træklatring i Høskoven,Sport and fitness,Show all,Tree climbing,Both children and adults,Show all,Outdoor,Show all,10.136368274127355,56.13145192305166,"c(10.1363682741274, 56.1314519230517)"
Klokkeskoven,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.117456975771388,56.13451479847843,"c(10.1174569757714, 56.1345147984784)"
Stautrup Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.11434150379495,56.14209713145415,"c(10.114341503795, 56.1420971314542)"
Viby Høskov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.143730399698809,56.13218584575908,"c(10.1437303996988, 56.1321858457591)"
Beringsminde,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.120966279169116,56.160457645876754,"c(10.1209662791691, 56.1604576458768)"
Skjoldhøjkilen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.134365476010935,56.169169542644575,"c(10.1343654760109, 56.1691695426446)"
Søparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.107337696771898,56.15145090121184,"c(10.1073376967719, 56.1514509012118)"
Madpakkehus Alfa i Skjoldhøjkilen,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.133973000000072,56.169204029999776,"c(10.1339730000001, 56.1692040299998)"
Madpakkehus Gamma i Skjoldhøjkilen,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.124992080000068,56.169993959999765,"c(10.1249920800001, 56.1699939599998)"
Shelter ved Lyngbygårdsvej,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.05524100000005,56.17795699999978,"c(10.0552410000001, 56.1779569999998)"
Fitnessplads Skjoldhøjkilen ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.131504120000068,56.16797795999977,"c(10.1315041200001, 56.1679779599998)"
Fitnessplads Brabrandstien ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.117077120000067,56.14872299999976,"c(10.1170771200001, 56.1487229999998)"
Bålplads i Skjoldhøjkilen,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.13095116000007,56.16818000999976,"c(10.1309511600001, 56.1681800099998)"
Brabrand Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.127679425907514,56.15121971069004,"c(10.1276794259075, 56.15121971069)"
Årslev Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.080569236294243,56.15120225937213,"c(10.0805692362942, 56.1512022593721)"
Gjellerup Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.141164645309535,56.15083575225396,"c(10.1411646453095, 56.150835752254)"
Aarhus VR,Entertainment,Show all,Virtual Reality Center located in Brabrand,Both children and adults,Show all,Indoor,Show all,10.121505029614923,56.16618196428782,"c(10.1215050296149, 56.1661819642878)"
Eventpark Aarhus,Entertainment,Show all,"Eventpark Aarhus resides many activities such as VR-escape room, lasertag, bouncy castles, trampolines, airhockey, arcade games, and much more.",Both children and adults,Show all,Indoor,Show all,10.121288373963337,56.165711115634515,"c(10.1212883739633, 56.1657111156345)"
Fitnessplads ved Egå Marina ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.289289960000138,56.21265602999978,"c(10.2892899600001, 56.2126560299998)"
Svinbo Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.324457618608319,56.240683272086144,"c(10.3244576186083, 56.2406832720861)"
Holme Bypark,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.180345252896617,56.11016360142034,"c(10.1803452528966, 56.1101636014203)"
Ørnereden,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.236732276731749,56.10100145478521,"c(10.2367322767317, 56.1010014547852)"
Shelter i Hørhaven i skoven,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.227179880000108,56.11466996999978,"c(10.2271798800001, 56.1146699699998)"
Shelter ved Moesgård Strand,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.244414880000118,56.088372959999774,"c(10.2444148800001, 56.0883729599998)"
Shelter i Hørhaven på bakken,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.229495040000112,56.11287995999977,"c(10.2294950400001, 56.1128799599998)"
Shelter i Moesgård Skov,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.227714000000109,56.097407999999774,"c(10.2277140000001, 56.0974079999998)"
Dagshelter i Hørhaven,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.230216840000109,56.11356800999978,"c(10.2302168400001, 56.1135680099998)"
Fitnessplads Gåsehaven ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.22752800000011,56.111279039999765,"c(10.2275280000001, 56.1112790399998)"
Fitnessplads Lyseng Idrætsanlæg ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.193218920000096,56.11257395999978,"c(10.1932189200001, 56.1125739599998)"
Fitnessplads i Håndværkerparken ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.173103920000086,56.10484097999977,"c(10.1731039200001, 56.1048409799998)"
Fitnessplads i Lerdalen ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.222239960000108,56.10452696999978,"c(10.2222399600001, 56.1045269699998)"
Bålplads ved Moesgård Strand - Ndr. Strandmark,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.24769412000012,56.093136029999776,"c(10.2476941200001, 56.0931360299998)"
Bålplads ved Moesgård Strand - Sdr. Strandmark,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.248333840000118,56.08621997999978,"c(10.2483338400001, 56.0862199799998)"
Bålplads ved Ballehage,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.224552960000107,56.121337979999765,"c(10.2245529600001, 56.1213379799998)"
Bålplads på stranden ved Blommehaven Camping,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.23600384000011,56.10906899999977,"c(10.2360038400001, 56.1090689999998)"
Bålplads ved Ørnereden,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.236555000000113,56.10108095999977,"c(10.2365550000001, 56.1010809599998)"
Bålhytte i Skåde Skov,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.239155000000117,56.09536999999979,"c(10.2391550000001, 56.0953699999998)"
Grumstolen,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.21758516656819,56.113160689536464,"c(10.2175851665682, 56.1131606895365)"
Moesgård Have,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.228849191431738,56.08046873535535,"c(10.2288491914317, 56.0804687353554)"
Thorsskov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.221138574922273,56.11785584199925,"c(10.2211385749223, 56.1178558419993)"
Skåde Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.231726782783886,56.10431364494316,"c(10.2317267827839, 56.1043136449432)"
Moesgård Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.234500385720292,56.09400440326461,"c(10.2345003857203, 56.0940044032646)"
Marselisborg Deer Park,Park,Show all,Free nature preserve & zpp with free-ranging wild boar & deer,Both children and adults,Show all,Outdoor,Show all,10.218638881257412,56.12326250555318,"c(10.2186388812574, 56.1232625055532)"
Moesgaard museum,Museum,Show all,"Moesgaard Museum is a popular destination for museum enthusiasts and nature lovers alike. The new museum building is the venue for world-class prehistoric and ethnographic exhibitions. Situated in the undulating landscape south of Aarhus, the museum constitutes a unique trinity of nature, culture, and history.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.222900005496525,56.090309106689084,"c(10.2229000054965, 56.0903091066891)"
Moesgaard strand,Beach,Show all,Beach at Moesgaard,Both children and adults,Show all,Outdoor,Show all,10.24810313955362,56.08889213471035,"c(10.2481031395536, 56.0888921347103)"
Ballehage Strand,Beach,Show all,Beach at Marselisborg,Both children and adults,Show all,Outdoor,Show all,10.226486004700586,56.121091170188414,"c(10.2264860047006, 56.1210911701884)"
